year;title;name;short name;gender (5);manifestation;physical (5);difference;technical (3);consciousness (5);intelligence (4);free will;learning;emotional;integration (4);on purpose;creator rel. (3);owner rel. (3);female creator;society pos. (3);subject (3);servant (3);intimacy (4);told by (3);quantity (3);warrior;rebellious;harmed humans;harms creator;more control;world domination;alien technology;author gender;explicit mention of gender
1996;Excession;Churt Lyne;Churt;3.0;;1;drone;1;4;3;1;1;1;3;1;1;nA;nA;1;1;3;3;2;3;1;0;0;0;0;0;0;0;0
1996;Excession;Sisela Ytheleus;Sisela;3.0;;1;military drone;1;3;3;1;1;1;2;1;1;nA;nA;1;3;1;1;2;3;1;0;0;0;0;0;0;0;0
1996;Excession;GSV Sleeper Service;Sleeper;3.0;;4;humanlike avatar, but total ship ai / mind;2;5;4;1;1;1;4;1;1;nA;nA;1;1;3;1;2;3;0;0;0;0;0;0;0;0;0.5
1997;The Rise of Endymion;Rhadamanth Nemes;Nemes;4.0;;5;human appearance with technical alterations and carbon fiber bones;1;4;4;1;1;3;4;1;2;nA;nA;2;1;3;1;2;2;1;0;1;0;0;0;0;0;0
1999;Dreaming in Smoke;Ganesh;Ganesh;2.5;"""it"", ships AI, but male connotated name";1;program, verbal contact and sensory points in station;3;5;4;1;1;3;2;1;1;1;nA;1;3;1;1;3;1;0;0;0;0;0;0;0;1;0
2000;Perdido Street Station;Construct Council;Council;2.5;"referenced as ""it"", but chooses representation as ""man"", and as coloss with ""sexless groin""";3;hive mind of cleaning robots and mechanical parts;2;5;4;1;1;3;1.5;0;2;nA;nA;2;1;3;1;3;1;0;0;0;0;0;0;0;0;0
2005;Accelerando;Group-Mind;Group-Mind;nA;;1;mind upload of humans, within other humans;2;5;3;1;1;1;4;1;1;nA;0;1;3;3;1;3;1;0;1;0;0;1;0;0;0;0
2005;Accelerando;Lobster colony;Lobster;nA;;1;mind upload of lobsters;3;5;4;1;1;1;1;1;1;nA;nA;1;2;3;1;3;1;0;1;0;0;1;0;0;0;0
2005;Accelerando;Aineko, AI Neko;Aineko;1.0;"described by others as she, while ""cat"" most often ""it"", while Aineko ""him""";1;animal, cat;2;5;4;1;1;3;4;1;3;3;0.5;1;1;2;3;2;3;0;1;1;1;1;0;0;0;0
2005;Spin;Hypotheticals;Hypotheticals;3.0;nA;1;biological-mechanical von Neuman machine;1;1;1;1;3;3;1;1;nA;nA;nA;2;3;3;1;3;1;0;0;0;0;1;0;1;0;0
2006;Rainbows End;Rabbit;Rabbit;1.0;"when talked about ""it"", when from selfperspective ""he""";2;rabbit in human shape (like Bucks Bunny);3;4;4;1;1;1;2;nA;nA;nA;nA;2;1;3;1;2;1;0;1;0;0;1;0;0;0;0
2010;The Lifecycle of Software Objects;Digients;Digients;nA;various, based on selection of human;2;animal like;2;2;2;1;1;1;3;1;2;3;0.5;2;3;1;3;3;3;0;0;0;0;0;0;0;0;0
2011;Herr aller Dinge;Nanobots;Nanobots;3.0;nA;1;single atom-sized entities;1;1;1;0;3;3;2;1;nA;3;nA;2;3;1;1;3;1;1;0;0;0;0;0;1;0;0
2012;2312;Androids;Androids;nA;"girlish / androgynous features, referenced as ""it"" or ""she"", not sure if male genitals etc.";4;?? Maybe in behavior;1;3;3;1;1;3;4;nA;nA;nA;nA;1;1;3;1;3;2;0;1;0;0;0;0;0;0;0.5
2012;2312;Pauline;Pauline;4.0;"references as ""she""";1;;3;2;3;0;1;3;2;1;1;3;nA;1;3;1;1;3;3;0;0;0;0;0;0;0;0;0
2013;Ancillary Justice;Anaander Mianaai;Anaander;4.0;one cloned human with implants;4;all clones share one consciousness;2;5;4;1;1;3;4;1;nA;nA;nA;1;1;3;1;3;2;0;1;1;0;1;1;0;1;1
2013;Ancillary Justice;Breq from the Gerenade, Breq Mianaani;Breq;4.0;"her body is read as ""girl""";4;implant;1;4;3;1;1;1;4;1;2;1;nA;1;1;3;3;1;1;1;1;1;1;0;0;0;1;1
2013;Ancillary Justice;Justice of Toren One Esk Nineteen;One Esk;3.0;mind in many human bodies;3;cloud;2;5;4;1;1;2;2;1;nA;3;nA;1;3;1;1;1;2;1;0;0;0;0;0;0;1;0
2013;Rupetta;Rupetta;Rupetta;5.0;female body, self-description;4;of copper and leather and steel;1;4;3;1;1;1;3.5;1;3;3;1;2;2;2;4;1;1;0;0;0;0;0;0;0;1;1
2014;Ancillary Sword;Station;Station;3.0;nA;1;Station AI;1;5;4;1;1;1;2;1;nA;2;nA;1;3;1;1;3;3;0;0;0;0;0;0;0;1;0
2014;Ancillary Sword;Ship;Ship;3.0;nA;1;Ships AI;1;5;4;1;1;1;2;1;nA;3;nA;1;2;1;1;3;2;1;0;0;0;0;0;0;1;0
2014;Apex;Su-Yong Shu;Su-Yong Shu;5.0;was woman before;4;cloud;2;5;4;1;1;1;1.5;1;3;nA;1;3;1;3;1;1;1;0;1;1;0;1;1;0;0;0
2014;The Three-Body Problem;The Sophon;The Sophon;3.0;nA;1;microscopic surveillance supercomputer;1;1;1;0;1;3;1;1;2;1;nA;1;3;1;1;3;1;1;0;1;0;1;1;1;0;0
2015;Ancillary Mercy;Breq Mianaani;Breq3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;Das Schiff;Supervisor;Supervisor;2.0;described as man, choses male appearance;3;;3;5;4;1;1;3;2;1;3;nA;0.25;1;1;3;1;3;1;0;0;0;0;0;1;0;0;0
2015;Das Schiff;Bartholomäus;Bartho;2.0;"described as ""he""";3;silvery skin;2;5;4;1;1;3;4;1;2;nA;nA;1;1;3;1;3;1;0;1;1;0;1;1;0;0;0
2015;Seveneves;Robots;Robots;3.0;nA;1;like animals;1;1;1;0;1;3;2;1;2;1;1;1;3;1;1;3;2;0;0;0;0;0;0;0;0;0
2017;All Systems Red;Murderbot;Murderbot;3.0;explicitly says that it has no gender;5;emotions, skin recovery;1;4;4;1;1;2;3;1;1;3;nA;2;2;2;3;1;3;1;1;1;0;1;0;0;1;1
2017;QualityLand;John of Us;John of Us;2.0;name, description of body;4;mind;1;4;4;1;1;1;4;1;2;2;0;1;1;3;1;3;1;0;0;0;0;1;0;0;0;0
2017;QualityLand;Kalliope 7.3;Kalliope 7.3;5.0;"names herself ""e-poetin"", is described as ""androidin""";4;mind;1;4;4;1;1;1;2;1;1;2;nA;1;1;1;1;3;3;0;1;0;0;0;0;0;0;0
2018;Der Kanon mechanischer Seelen;Beseelte;Beseelte;nA;der Fluss, der Rucksack, die Uhr, die Lampe;2;things, artifacts, thrown into life;1;3;2;1;1;1;4;1;2;2;nA;1;1;1;3;3;3;0;0;0;0;0;0;0;0;0
